time,X,Y,Z
5.8100000000000005,-1.0961926723424859e-05,-2.1471918939597486e-06,-80.09133188678517
5.85,-1.1123958457313368e-05,-2.1825808522587644e-06,-80.09217864208172
5.91,-1.1286856492909512e-05,-2.217962729246601e-06,-80.09302539748761
5.96,-1.1450616302164368e-05,-2.2533314757215645e-06,-80.09387215299395
6.01,-1.1615233292310644e-05,-2.288681141050912e-06,-80.0947189085929
6.06,-1.1780702806767718e-05,-2.324005872665107e-06,-80.09556566427749
6.11,-1.1947020126116036e-05,-2.3592999155399007e-06,-80.09641242004163
6.16,-1.211418046912959e-05,-2.3945576116669414e-06,-80.09725917587991
6.21,-1.2282178993858582e-05,-2.429773399514668e-06,-80.09810593178759
6.26,-1.245101079875727e-05,-2.464941813477447e-06,-80.09895268776049
6.31,-1.2620670923851533e-05,-2.500057483315783e-06,-80.09979944379494
6.36,-1.2791154351942467e-05,-2.535115133587885e-06,-80.10064619988769
6.41,-1.2962456009842114e-05,-2.5701095830706293e-06,-80.10149295603593
6.46,-1.3134570769637584e-05,-2.605035744171856e-06,-80.10233971223714
6.51,-1.3307493449980283e-05,-2.6398886223350802e-06,-80.10318646848914
6.5600000000000005,-1.3481218817397226e-05,-2.674663315435666e-06,-80.10403322479004
6.61,-1.3655741587621429e-05,-2.709355013168729e-06,-80.10487998113814
6.66,-1.3831056426939142e-05,-2.7439589964311027e-06,-80.10572673753201
6.71,-1.4007157953550702e-05,-2.778470636695657e-06,-80.10657349397039
6.76,-1.4184040738942947e-05,-2.81288539538017e-06,-80.10742025045217
6.8100000000000005,-1.43616993092714e-05,-2.847198823207966e-06,-80.10826700697638
6.86,-1.454012814674969e-05,-2.881406559563447e-06,-80.1091137635422
6.91,-1.4719321691044943e-05,-2.9155043318417072e-06,-80.1099605201489
6.96,-1.4899274340676635e-05,-2.9494879547929766e-06,-80.1108072767959
7.01,-1.5079980454418013e-05,-2.9833533298613534e-06,-80.11165403348267
7.06,-1.526143435269811e-05,-3.017096444519343e-06,-80.11250079020873
7.11,-1.544363031900343e-05,-3.050713371596177e-06,-80.11334754697369
7.16,-1.562656260127746e-05,-3.084200268602492e-06,-80.11419430377721
7.21,-1.58102254133172e-05,-3.117553377051507e-06,-80.11504106061905
7.26,-1.5994612936165442e-05,-3.150769021774864e-06,-80.11588781749896
7.31,-1.6179719319497886e-05,-3.1838436102348356e-06,-80.11673457441675
7.36,-1.6365538683004212e-05,-3.21677363183315e-06,-80.11758133137226
7.41,-1.6552065117761823e-05,-3.2495556572159364e-06,-80.11842808836535
7.46,-1.6739292687602057e-05,-3.2821863375764758e-06,-80.1192748453959
7.51,-1.692721543046772e-05,-3.3146624039531813e-06,-80.12012160246384
7.5600000000000005,-1.7115827359761046e-05,-3.3469806665258883e-06,-80.12096835956906
7.61,-1.730512246568195e-05,-3.3791380139099282e-06,-80.12181511671156
7.66,-1.7495094716555933e-05,-3.411131412445939e-06,-80.12266187389123
7.71,-1.768573806015064e-05,-3.4429579054888346e-06,-80.1235086311081
7.76,-1.787704642498097e-05,-3.4746146126946744e-06,-80.12435538836212
7.8100000000000005,-1.8069013721602314e-05,-3.5060987293038868e-06,-80.12520214565325
7.86,-1.8261633843891053e-05,-3.5374075254240284e-06,-80.12604890298151
7.91,-1.845490067031266e-05,-3.568538345310493e-06,-80.12689566034688
7.96,-1.8648808065176334e-05,-3.599488606646203e-06,-80.12774241774933
8.01,-1.8843349879876406e-05,-3.6302557998199703e-06,-80.12858917518888
8.06,-1.903851995411963e-05,-3.6608374872022125e-06,-80.12943593266547
8.11,-1.9234312117138683e-05,-3.6912313024214287e-06,-80.13028269017913
8.16,-1.943072018889151e-05,-3.7214349496388772e-06,-80.13112944772988
8.21,5.4430184594084165e-05,-3.751029549475549e-06,-80.13197627335161
8.26,0.0007632033269184953,-3.7779899638761647e-06,-80.13282335323734
8.31,0.0027921251682235804,-3.8049278008291087e-06,-80.13367074956527
8.36,0.006471623407655017,-3.840543500090643e-06,-80.1345184427908
8.41,0.011860741422182118,-3.894714202402637e-06,-80.1353663936292
8.46,0.01890534344642192,-3.975199635984968e-06,-80.1362145623041
8.51,0.027513731971948584,-4.086122013551094e-06,-80.13706290339108
8.55,0.03758510778572571,-4.2338871250166866e-06,-80.13791137529782
8.61,0.04902090153018492,-4.429354052200204e-06,-80.13875994921358
8.65,0.06172659056812772,-4.680048872339649e-06,-80.13960860044467
8.71,0.07561233483860162,-4.9909162784017595e-06,-80.14045730221952
8.76,0.09059489469586038,-5.3684752103082395e-06,-80.14130603225566
8.81,0.10659695057051811,-5.821230628032475e-06,-80.14215477592433
8.85,0.12354664638931821,-6.356219752915739e-06,-80.14300352120202
8.91,0.1413771948495124,-6.97852090691852e-06,-80.14385225463991
8.96,0.16002651704001572,-7.694317101988586e-06,-80.14470096530235
9.01,0.17943690919446717,-8.510891276103424e-06,-80.14554964669729
9.06,0.19955473396158144,-9.43407857193912e-06,-80.14639829304174
9.11,0.220330133947851,-1.0468645218622188e-05,-80.1472468984365
9.16,0.24171676531428682,-1.1620196836817925e-05,-80.1480954590406
9.21,0.2636715500394584,-1.2894564849963409e-05,-80.14894397292552
9.26,0.2861544458294191,-1.4296469104283564e-05,-80.14979243816911
9.31,0.3091282323121728,-1.5830200012421724e-05,-80.15064085299609
9.36,0.33255831215988496,-1.7500494791144334e-05,-80.15148921690135
9.41,0.35641252619562175,-1.9311896779845162e-05,-80.15233753014543
9.46,0.38066098162548206,-2.1268229416869752e-05,-80.15318579284376
9.51,0.4052758923747819,-2.3373157108348583e-05,-80.1540340053321
9.56,0.43023143060305186,-2.5630486415397747e-05,-80.15488216862909
9.61,0.45550358868981256,-2.804372388055824e-05,-80.15573028397715
9.66,0.4810700509917069,-3.0615940665774756e-05,-80.156578352485
9.71,0.5069100746210132,-3.3350125733202744e-05,-80.15742637543352
9.76,0.5330043785930622,-3.6249242554444796e-05,-80.15827435441096
9.81,0.5593350407991317,-3.93159797354364e-05,-80.15912229100816
9.86,0.5858854022584166,-4.255276174173162e-05,-80.15997018671686
9.91,0.6126399781030379,-4.5961941096197955e-05,-80.16081804312194
9.96,0.6395843748234167,-4.9545776290866496e-05,-80.16166586190735
10.01,0.6667052133563018,-5.330631038943996e-05,-80.16251364468557
10.06,0.693990057599199,-5.7245418332897225e-05,-80.16336139299352
10.11,0.7214275690202925,-6.136494857335984e-05,-80.16420910843722
10.16,0.74900705388075,-6.566660555032864e-05,-80.16505679254834
10.21,0.7767183137450321,-7.015187629901923e-05,-80.16590444678114
10.26,0.8045519996323705,-7.482217254310296e-05,-80.16675207256688
10.31,0.8324994606283417,-7.967883939086147e-05,-80.16759967129555
10.36,0.8605526692666973,-8.472311423630558e-05,-80.16844724430456
10.41,0.8887041689577353,-8.995613252521188e-05,-80.16929479287283
10.46,0.916947030588279,-9.53789592123925e-05,-80.17014231823526
10.51,0.9452748141538633,-0.00010099258263407235,-80.17098982157708
10.56,0.9736815338354226,-0.00010679790365979202,-80.17183730401878
10.61,1.00216162581725,-0.00011279575278281373,-80.1726847666255
10.66,1.0307099184780701,-0.00011898690332829056,-80.17353221041874
10.71,1.0593216047235159,-0.00012537206513667573,-80.17437963636839
10.76,1.087992216284884,-0.00013195188452305186,-80.17522704538717
10.81,1.1167175998348353,-0.0001387269566765931,-80.17607443834036
10.86,1.145493894787978,-0.00014569783100136323,-80.17692181605136
10.91,1.1743175126671972,-0.00015286500824479262,-80.17776917929663
10.96,1.2031851179249897,-0.00016022894358330142,-80.17861652880563
11.01,1.232093610116329,-0.00016779005436125472,-80.1794638652679
11.06,1.2610401073277524,-0.00017554872249856944,-80.1803111893355
11.11,1.2900219307746432,-0.00018350529394705117,-80.18115850162083
11.16,1.3190365904842754,-0.00019166008207688976,-80.18200580269865
11.21,1.3480817719877272,-0.00020001337234058715,-80.18285309311062
11.26,1.3771553239496723,-0.00020856542361888066,-80.18370037336659
